station_id,time_of_day,day_of_week,is_holiday,weather,nearby_events,temperature,platform_capacity,crowd_level
7,20,3,1,Sunny,0,40.0,500,Medium
20,11,5,0,Sunny,0,31.1,900,Medium
15,8,2,0,Sunny,0,22.1,300,Medium
11,0,1,0,Sunny,1,28.5,900,Medium
8,17,3,0,Sunny,0,31.9,900,Low
7,20,2,0,Sunny,1,30.4,900,Low
19,3,5,0,Rainy,0,23.8,500,High
11,9,2,0,Sunny,1,21.8,500,High
11,6,3,0,Sunny,1,26.3,900,High
4,21,0,0,Sunny,0,34.0,900,Low
8,22,1,0,Sunny,0,37.9,300,Low
3,0,1,0,Sunny,1,34.6,900,Medium
2,16,0,0,Sunny,0,35.3,900,Low
12,23,6,0,Sunny,0,29.6,900,Medium
6,1,3,0,Cloudy,2,21.3,900,High
2,10,1,0,Rainy,0,27.7,500,High
1,8,3,0,Rainy,0,28.7,900,High
12,6,5,0,Rainy,0,27.5,700,High
12,21,3,0,Rainy,1,30.3,900,Medium
17,16,2,0,Sunny,0,32.2,500,Low
10,16,0,0,Rainy,0,34.3,700,Low
16,1,6,0,Sunny,0,28.6,700,Medium
15,5,3,0,Rainy,0,20.5,900,High
15,13,6,0,Rainy,0,27.6,900,Medium
19,5,6,0,Sunny,0,30.2,500,High
12,1,5,0,Sunny,0,36.1,700,Medium
20,0,4,1,Sunny,0,27.2,700,High
3,9,0,0,Rainy,0,32.6,500,High
5,20,6,0,Rainy,0,31.5,900,Medium
19,4,1,0,Cloudy,1,30.2,300,High
7,1,2,0,Sunny,0,34.7,300,Medium
9,21,1,0,Rainy,1,26.7,700,Medium
7,15,5,0,Sunny,0,27.1,700,Low
18,1,5,0,Cloudy,0,29.9,900,Medium
4,9,1,0,Sunny,0,26.8,300,Medium
14,1,0,0,Sunny,0,32.5,700,Medium
18,15,1,0,Sunny,0,26.4,900,Low
9,15,3,0,Rainy,2,31.1,300,Medium
2,18,1,0,Cloudy,0,29.5,500,Low
20,6,2,0,Sunny,0,31.1,700,High
15,21,2,0,Sunny,0,27.7,500,Low
7,11,4,0,Cloudy,0,28.3,300,Medium
12,23,2,0,Sunny,1,30.5,900,Medium
8,14,1,0,Rainy,1,31.0,900,Medium
15,7,2,1,Sunny,1,30.0,300,High
3,5,0,0,Sunny,0,38.5,500,Medium
14,9,6,1,Rainy,0,25.0,900,High
17,2,2,0,Rainy,0,29.7,700,High
4,18,3,0,Sunny,0,22.1,500,Low
